LEA Code,LEA Name,School Code,School Name,Total Unaudited Enrollment (Including Non-Public Enrollment),Total Audited Enrollments (Including Non-Public Enrollment),Students included in UPSFF,Tuition paying non-resident students,Unverified resident students,Audited Non-Public Enrollment,Unverified resident students - Non-Public
107,Bridges PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
108,Capital City PCS,1049,Accotink Academy Therapeutic Day School,2,2,0,0,0,2,0
108,Capital City PCS,1207,Capital City PCS - High School,342,342,342,0,0,0,0
108,Capital City PCS,184,Capital City PCS - Lower School,330,330,330,0,0,0,0
108,Capital City PCS,182,Capital City PCS - Middle School,332,332,332,0,0,0,0
108,Capital City PCS,1020,Childrens Guild Prince Georges Chillum MD,1,1,0,0,0,1,0
108,Capital City PCS,1082,Foundation School of Montgomery County Gaithersburg MD,1,1,0,0,0,1,0
108,Capital City PCS,1051,Ivymount School Rockville MD,2,2,0,0,0,2,0
108,Capital City PCS,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
108,Capital City PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
108,Capital City PCS,1018,PHILLIPS Programs for Children and Families/ PHILLIPS School ~ Fairfax,1,1,0,0,0,1,0
108,Capital City PCS,1012,Phillips School Annandale Annandale VA,2,2,0,0,0,2,0
109,Cesar Chavez PCS for Public Policy,1369,Acadia Healthcare Millcreek of Arkansas  Fordyce AR,1,1,0,0,0,1,0
109,Cesar Chavez PCS for Public Policy,1049,Accotink Academy Therapeutic Day School,1,1,0,0,0,1,0
109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez Public Charter Schools for Public Policy,401,401,401,0,0,0,0
109,Cesar Chavez PCS for Public Policy,3062,High Road of Maryland Upper School Prince George's County,3,3,0,0,0,3,0
109,Cesar Chavez PCS for Public Policy,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
109,Cesar Chavez PCS for Public Policy,1079,Katherine Thomas School Rockville MD,2,2,0,0,0,2,0
109,Cesar Chavez PCS for Public Policy,1056,Kennedy Krieger Greenspring Campus Baltimore MD,2,2,0,0,0,2,0
109,Cesar Chavez PCS for Public Policy,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
109,Cesar Chavez PCS for Public Policy,1046,Lab School of Washington DC,1,1,0,0,0,1,0
109,Cesar Chavez PCS for Public Policy,1013,Phillips School Laurel Laurel MD,1,1,0,0,0,1,0
109,Cesar Chavez PCS for Public Policy,1021,The Village Academy of Maryland,1,1,0,0,0,1,0
114,DC Bilingual PCS,199,DC Bilingual PCS,530,530,529,0,1,0,0
115,DC Prep PCS,276,DC Prep PCS - Anacostia Elementary School,410,410,410,0,0,0,0
115,DC Prep PCS,1151,DC Prep PCS - Anacostia Middle School,200,200,200,0,0,0,0
115,DC Prep PCS,1110,DC Prep PCS - Benning Elementary School,442,442,442,0,0,0,0
115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,328,328,328,0,0,0,0
115,DC Prep PCS,130,DC Prep PCS - Edgewood Elementary School,430,430,430,0,0,0,0
115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,318,318,318,0,0,0,0
115,DC Prep PCS,1092,HRMD High Road Academy of Howard County,1,1,0,0,0,1,0
115,DC Prep PCS,1200,High Road of Maryland Lower School Prince George's County,1,1,0,0,0,1,0
116,E.L. Haynes PCS,1206,E.L. Haynes PCS - Elementary School,342,342,342,0,0,0,0
116,E.L. Haynes PCS,1138,E.L. Haynes PCS - High School,459,457,457,0,0,0,0
116,E.L. Haynes PCS,146,E.L. Haynes PCS - Middle School,366,365,365,0,0,0,0
116,E.L. Haynes PCS,1200,High Road of Maryland Lower School Prince George's County,1,1,0,0,0,1,0
116,E.L. Haynes PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
116,E.L. Haynes PCS,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
116,E.L. Haynes PCS,1159,Pathways Horizons,1,1,0,0,0,1,0
116,E.L. Haynes PCS,1012,Phillips School Annandale Annandale VA,1,1,0,0,0,1,0
116,E.L. Haynes PCS,1013,Phillips School Laurel Laurel MD,1,1,0,0,0,1,0
116,E.L. Haynes PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
117,Eagle Academy PCS,1125,Eagle Academy PCS - Capitol Riverfront,128,128,128,0,0,0,0
117,Eagle Academy PCS,195,Eagle Academy PCS - Congress Heights,286,284,284,0,0,0,0
117,Eagle Academy PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
118,Early Childhood Academy PCS,138,Early Childhood Academy PCS,250,250,250,0,0,0,0
119,Briya PCS,126,Briya PCS,781,760,760,0,0,0,0
120,Friendship PCS,1369,Acadia Healthcare Millcreek of Arkansas  Fordyce AR,1,1,0,0,0,1,0
120,Friendship PCS,1049,Accotink Academy Therapeutic Day School,5,5,0,0,0,5,0
120,Friendship PCS,1050,Chelsea School,1,1,0,0,0,1,0
120,Friendship PCS,1020,Childrens Guild Prince Georges Chillum MD,1,1,0,0,0,1,0
120,Friendship PCS,1216,Devereux Georgia Treatment Network Kennesaw GA,1,1,0,0,0,1,0
120,Friendship PCS,1082,Foundation School of Montgomery County Gaithersburg MD,1,1,0,0,0,1,0
120,Friendship PCS,269,Friendship PCS - Armstrong Elementary,252,252,252,0,0,0,0
120,Friendship PCS,1140,Friendship PCS - Armstrong Middle,210,208,208,0,0,0,0
120,Friendship PCS,361,Friendship PCS - Blow Pierce Elementary,285,285,285,0,0,0,0
120,Friendship PCS,362,Friendship PCS - Blow Pierce Middle,245,245,245,0,0,0,0
120,Friendship PCS,363,Friendship PCS - Chamberlain Elementary,296,296,296,0,0,0,0
120,Friendship PCS,364,Friendship PCS - Chamberlain Middle,311,311,311,0,0,0,0
120,Friendship PCS,186,Friendship PCS - Collegiate Academy,662,661,661,0,0,0,0
120,Friendship PCS,1083,Friendship PCS - Ideal Elementary,216,216,216,0,0,0,0
120,Friendship PCS,1084,Friendship PCS - Ideal Middle,182,182,182,0,0,0,0
120,Friendship PCS,268,Friendship PCS - Online Academy,443,435,435,0,0,0,0
120,Friendship PCS,113,Friendship PCS - Southeast Elementary,365,365,365,0,0,0,0
120,Friendship PCS,1057,Friendship PCS - Southeast Middle,329,329,329,0,0,0,0
120,Friendship PCS,1164,Friendship PCS - Technology Preparatory High School,357,357,357,0,0,0,0
120,Friendship PCS,365,Friendship PCS - Woodridge International Elementary,251,250,250,0,0,0,0
120,Friendship PCS,366,Friendship PCS - Woodridge International Middle,217,217,217,0,0,0,0
120,Friendship PCS,1092,HRMD High Road Academy of Howard County,1,1,0,0,0,1,0
120,Friendship PCS,3062,High Road of Maryland Upper School Prince George's County,2,2,0,0,0,2,0
120,Friendship PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
120,Friendship PCS,1168,Kennedy Krieger Fairmont Campus Baltimore MD,1,1,0,0,0,1,0
120,Friendship PCS,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
120,Friendship PCS,1066,Lt. Joseph P. Kennedy Institute,3,3,0,0,0,3,0
120,Friendship PCS,1183,New Beginnings Vocational Program DC,5,5,0,0,0,5,0
120,Friendship PCS,1012,Phillips School Annandale Annandale VA,2,2,0,0,0,2,0
120,Friendship PCS,3005,Sheppard Pratt School-Gaithersburg,1,1,0,0,0,1,0
120,Friendship PCS,3115,Sheppard Pratt School-Lanham,1,1,0,0,0,1,0
120,Friendship PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
121,Hope Community PCS,114,Hope Community PCS - Tolson,203,203,202,0,1,0,0
121,Hope Community PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
121,Hope Community PCS,1143,The Foundation Learning Center,1,1,0,0,0,1,0
123,Cedar Tree Academy PCS,188,Cedar Tree Academy PCS,463,463,463,0,0,0,0
124,Howard University Middle School of Mathematics and Science PCS,115,Howard University Middle School of Mathematics and Science PCS,284,284,284,0,0,0,0
125,Perry Street Preparatory PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
125,Perry Street Preparatory PCS,161,Perry Street Preparatory PCS,452,451,451,0,0,0,0
